title
Vale se compromete a pagar salário de janeiro de funcionários da mina em Brumadinho - Gerais - Estado de Minas
Vale se compromete a pagar salário de janeiro de funcionários da mina em Brumadinho
Vale se compromete a pagar salário de janeiro de funcionários da mina em Brumadinho
Atingidos 'invisíveis': veja histórias de pessoas afetadas indiretamente pela tragédia em Brumadinho
Males físicos e psicológicos podem atingir sobreviventes e moradores de Brumadinho
Novas fotos aéreas mostram situação na região atingida pelos rejeitos da barragem da Vale em Brumadinho
#tragediabrumadinho
#brumadinho
ENTRETENIMENTORecord TV Minas - Moradores de Brumadinho lamentam perda de amigos | Facebook
Jump toSections of this pageAccessibility HelpPress alt + / to open this menuFacebookEmail or PhonePasswordForgot account?Sign UpSee more of Record TV Minas on FacebookLog InorCreate New AccountSee more of Record TV Minas on FacebookLog InForgot account?orCreate New AccountNot NowRecord TV MinasVideosMoradores de Brumadinho lamentam perda de amigosInspeção apontou problemas na barragem da Vale
Pouco mais de um mês antes da tragédia provocada pelo rompimento de uma barragem em Brumadinho (MG)
Projeto de expansão da Vale em complexo de minas em Brumadinho — Foto: Igor Estrella/G1
ROMPIMENTO DE BARRAGEM EM BRUMADINHO
Barragem rompe e lama invade Brumadinho
Brumadinho: cidade onde todos se conhecem
Jump toSections of this pageAccessibility HelpPress alt + / to open this menuFacebookEmail or PhonePasswordForgot account?Sign UpRelated Videos4:30MOMENTO EXATO DO ROMPIMENTO DA BARRAGEM BRUMADINHOJaqueira News2
· October 85:02Imagens inéditas mostram o momento do rompimento da barragem em Brumadinho.Band Jornalismo286
· February 13:30Momento em rompeu a barragem de Brumadinho!Motivacional8
· October 71:30Vídeo mostra detonação em mina da Vale em BrumadinhoRecord TV Minas12
Brumadinho marca reinício das aulas para a próxima semana
De acordo com o líder do grupo de resposta imediata para ações da Vale em Brumadinho
#brumadinho
Polícia Civil identifica 251ª vítima da tragédia de Brumadinho
Passarela para pedestres de ponte destruída por rompimento em Brumadinho é ...
CPI de Brumadinho pede indiciamento de diretores da Vale e auditores da Tüv...
Quatro meses após tragédia em Brumadinho
PublicidadeBrumadinho quer trocar mineração pelo turismo ecológico - Primeiro Plano - Home
Brumadinho quer trocar mineração pelo turismo ecológico
A tragédia de Brumadinho resultou na paralisação da atividade minerária
Em Brumadinho
Brumadinho
Tragedia em Brumadinho
Brumadinho
Polícia Civil identifica 251ª vítima da tragédia de Brumadinho
Mais um corpo é localizado pelos bombeiros em Brumadinho
Veja quem era a 250ª vítima de Brumadinho que teve o corpo achado oito mese...
Bombeiros encontram corpo inteiro no 248º dia de buscas em Brumadinho
Drones irão lançar larvicidas em focos do mosquito da dengue em Brumadinho
Tragedia em Brumadinho
Bombeiros encontram mais um corpo em Brumadinho
CPI de Brumadinho na Assembleia busca informações sobre reparação em Marian...
Análise do DNA de segmentos corporais achados em Brumadinho é complexa
brumadinho
